orden_comision,categoria,corporacion,tipo_comision,nombre_comision,cantidad_integrantes,cantidad_texto,ley_2267,integrantes,adicional_citrep,adicional_oposicion,integrantes_sin_citrep,integrantes_con_adiciones,restriccion
1,Propia,Cámara,Constitucional,Comisión Primera,35,35,+3 Citrep,35,3,0,35,38,
2,Propia,Cámara,Constitucional,Comisión Segunda,19,19,+2 Citrep,19,2,0,19,21,
3,Propia,Cámara,Constitucional,Comisión Tercera,33,33,+2 Citrep,33,2,0,33,35,
4,Propia,Cámara,Constitucional,Comisión Cuarta,27,27,+2 Citrep,27,2,0,27,29,
5,Propia,Cámara,Constitucional,Comisión Quinta,19,19,+3 Citrep,19,3,0,19,22,
6,Propia,Cámara,Constitucional,Comisión Sexta,18,18,+2 Citrep,18,2,0,18,20,
7,Propia,Cámara,Constitucional,Comisión Septima,19,19,+2 Citrep,19,2,0,19,21,
8,Propia,Cámara,Legal,Comisión de Derechos Humanos y Audiencias,15,15,+2 Citrep,15,2,0,15,17,
9,Propia,Cámara,Legal,Comisión de Ética y Estatuto del Congresista,17,17,+2 Citrep,17,2,0,17,19,
10,Propia,Cámara,Legal,Comisión de Acreditación Documental,5,5,,5,0,0,5,5,
11,Interparlamentario,Cámara,Legal,Comisión para la Equidad de la Mujer,13,13,+2 Citrep,13,2,0,13,15,
12,Bicameral,Cámara,Legal,Comisión Legal de Seguimiento a las Actividades de Inteligencia y Contrainteligencia,4,4,,4,0,0,4,4,
13,Bicameral,Cámara,Legal,Comisión Legal para la Protección de los Derechos de las Comunidades Negras o Población Afrocolombiana,4,4,,4,0,0,4,4,
14,Propia,Cámara,Legal,Comisión Legal de Paz y Posconflicto,19,19,+16 citrep,19,16,0,19,35,
15,Bicameral,Cámara,Legal,Comisión Legal para la Protección Integral de Infancia y Adolescencia,10,10,,10,0,0,10,10,
16,Bicameral,Cámara,Legal,Comisión legal de crédito público,3,3,,3,0,0,3,3,
17,Propia,Cámara,Legal,Comisión legal de cuentas,12,12,+2 Citrep,12,2,0,12,14,
18,Propia,Cámara,Legal,Comisión legal de Investigación y Acusación,16,16,+2 Citrep,16,2,0,16,18,
19,Propia,Cámara,Especial,Comisión de vigilancia de los organismos de control público,15,15,,15,0,0,15,15,
20,Propia,Cámara,Especial,Comisión de vigilancia del organismo electoral,15,15,,15,0,0,15,15,
